amfi_code,scheme_name,fund_house,category,sub_category,cagr_1y_pct,cagr_3y_pct,cagr_5y_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,var_95_pct,ann_std_pct,composite_score,expense_ratio_pct,risk_category,fund_manager,benchmark,plan
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,-2.22,1.29,2.32,-0.202,-0.351,3.7476,-0.0583,-24.73,-1.4364,14.548,21.12,1.55,Moderate,Rahul Baijal,NIFTY 100 TRI,Regular
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,3.7,3.92,3.91,-0.567,-0.942,4.2818,0.0012,-4.31,-0.3793,3.905,23.62,0.56,Low,Anil Bamboli,CRISIL Short Term Bond Index,Regular
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,53.23,32.44,26.07,1.094,1.829,27.1954,0.0051,-16.22,-1.9034,18.937,80.5,1.38,High,Chirag Setalvad,NIFTY Midcap 150 TRI,Regular
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,47.92,28.97,20.44,1.027,1.8,21.3998,0.0211,-11.29,-1.3282,14.568,62.12,1.6,Moderate,Mahesh Patil,NIFTY 100 TRI,Regular
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,-23.99,-4.15,6.95,0.163,0.277,10.8971,-0.0653,-35.45,-2.6021,25.797,30.81,1.53,Very High,Mircea Ciobanu,BSE 250 SmallCap TRI,Regular
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,7.24,6.32,5.71,-0.816,-1.681,6.0861,0.0003,-0.16,-0.0269,0.506,24.12,0.79,Low,Maneesh Dangi,CRISIL Liquid Fund AI Index,Regular
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,20.21,19.67,15.88,0.817,1.436,17.0488,-0.0195,-10.86,-1.2613,12.837,48.25,1.57,Moderate,Sharwan Kumar Goyal,NIFTY 50 TRI,Regular
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,-16.8,-0.77,1.03,-0.206,-0.347,2.8969,-0.0421,-28.0,-1.922,18.135,21.56,1.51,High,V Srivatsa,NIFTY Midcap 150 TRI,Regular
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,13.58,25.56,14.68,0.62,1.089,16.2113,0.0167,-21.54,-1.5232,15.758,50.94,1.64,Moderately High,Ajay Tyagi,NIFTY 500 TRI,Regular
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,33.98,22.65,20.88,1.082,1.85,21.8294,-0.0084,-17.41,-1.3954,14.148,67.81,1.51,Moderate,Sailesh Raj Bhan,NIFTY 100 TRI,Regular
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,25.54,21.09,14.19,0.645,1.154,15.6438,-0.0366,-18.63,-1.3443,13.997,61.31,0.72,Moderate,Sailesh Raj Bhan,NIFTY 100 TRI,Direct
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,15.81,8.01,14.27,0.448,0.746,17.5007,0.1035,-23.34,-2.5438,25.242,44.06,1.53,Very High,Samir Rachh,BSE 250 SmallCap TRI,Regular
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,22.49,20.01,13.91,0.665,1.138,15.1364,-0.0014,-11.65,-1.2554,12.983,53.75,0.89,Moderate,Vishal Jain,NIFTY 50 TRI,Direct
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,10.45,4.06,4.66,-0.357,-0.614,5.0748,0.0013,-8.32,-0.3804,3.986,27.38,0.55,Low,Vivek Sharma,CRISIL Dynamic Gilt Index,Regular
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.61,0.53,5.58,0.031,0.053,6.8995,0.0097,-14.4,-1.375,13.951,19.81,1.64,Moderate,Shreyash Devalkar,NIFTY 100 TRI,Regular
